date,open,high,low,close,volume,vwap,pct_change,cap,returns,prev_close,amount
2018-03-16,168,169.88,166,166.22,1603200,168.013515730406,-0.520677479202828,66504622000,-0.520677479202828,167.09,269354060
2018-03-19,166,168.49,163.6,165.44,1553100,166.222112976234,-0.469257610395862,66192544000,-0.469257610395862,166.22,258154577
2018-03-20,163.07,178.68,162.13,175.42,3798900,172.358419219834,6.03239845261121,70185542000,6.03239845261121,165.44,654773950
2018-03-21,175.43,175.9,166,166.9,2967700,171.783913175478,-4.85691483297229,66776690000,-4.85691483297229,175.42,509808788
2018-03-22,168.32,169.2,165.11,166,1438800,167.072567035961,-0.539245056920315,66416600000,-0.539245056920315,166.9,240380668
2018-03-23,159.12,162.45,150.5,153.6,2954300,156.660777474865,-7.46987951807229,61455360000,-7.46987951807229,166,462820115
2018-03-26,149.9,158.91,148.58,158.53,1900900,155.00683247752,3.20963541666667,63427853000,3.20963541666667,153.6,294655743
2018-03-27,161,165.35,161,163.3,2148700,163.38054735294,3.00889421560589,65336330000,3.00889421560589,158.53,351056599
2018-03-28,160,172.38,159,166.29,3340900,168.044770351888,1.83098591549295,66532629000,1.83098591549295,163.3,561419765
2018-03-29,166.35,168.5,161.54,164.25,1856500,164.125410651543,-1.22677250586325,65716425000,-1.22677250586325,166.29,304698989
2018-03-30,164.25,169,164.25,167.88,1965600,167.288097453615,2.21004566210045,67168788000,2.21004566210045,164.25,328816633
2018-04-02,170,177.77,170,171.81,2908900,173.782914370401,2.3409578270193,68741181000,2.3409578270193,167.88,505515208
2018-04-03,168,177,166.88,171.99,2599900,171.577652599857,0.104766893661607,68813199000,0.104766893661607,171.81,446077018
2018-04-04,171.9,175.89,169.1,169.3,1913800,172.293373721244,-1.56404442118728,67736930000,-1.56404442118728,171.99,329730579
2018-04-09,168,168,160,164.8,1852400,164.444454461533,-2.65800354400473,65936480000,-2.65800354400473,169.3,304615263
2018-04-10,164,168,163.52,166.2,1497400,165.449720086522,0.849514563106782,66496620000,0.849514563106782,164.8,247748878
2018-04-11,166.38,167.3,161.61,162.4,1952100,163.563977607223,-2.28640192539109,64976240000,-2.28640192539109,166.2,319286371
2018-04-12,161.2,163.98,161.1,161.2,1181400,162.123147217832,-0.738916256157646,64496120000,-0.738916256157646,162.4,191532124
2018-04-13,163.96,164.87,161.18,161.42,1054700,162.835321034806,0.136476426799007,64584142000,0.136476426799007,161.2,171734597
2018-04-16,160,160.6,158,159.16,1229000,159.09466817684,-1.40007434023045,63679916000,-1.40007434023045,161.42,195527029
2018-04-17,158.8,160.9,156.58,156.62,1403300,158.714974000181,-1.59587836139733,62663662000,-1.59587836139733,159.16,222721390
2018-04-18,157.8,158.99,149,157.11,1856200,153.454829413986,0.31285914953391,62859711000,0.31285914953391,156.62,284845770
2018-04-19,156,164.66,155.2,163.06,1880100,160.758719343875,3.78715549614919,65240306000,3.78715549614919,157.11,302247291
2018-04-20,160.33,163,155.88,156.07,1469200,159.414913493326,-4.28676560775175,62443607000,-4.28676560775175,163.06,234211275
2018-04-23,155.01,157.51,151.5,153.9,1205900,154.18608610277,-1.39040174280771,61575390000,-1.39040174280771,156.07,185937781
2018-04-24,153.9,157.75,153,157.16,1171800,156.271524026523,2.11825860948667,62879716000,2.11825860948667,153.9,183123660
2018-04-25,156.01,160.44,155.16,158.92,1260900,157.679608524273,1.11987783150928,63583892000,1.11987783150928,157.16,198813488
2018-04-26,155.24,156.68,150.6,151.1,1814200,152.620680797678,-4.92071482506921,60455110000,-4.92071482506921,158.92,276879250
2018-04-27,151.5,153.78,149.8,150,1217100,151.188394187152,-0.727994705493047,60015000000,-0.727994705493047,151.1,184010941
2018-05-02,150.01,151.98,149.12,149.98,871100,150.253058684966,-0.01333333333334,60006998000,-0.01333333333334,150,130889346
2018-05-03,149.4,149.89,142.14,147.01,1423400,145.612926478161,-1.98026403520469,58818701000,-1.98026403520469,149.98,207261508
2018-05-04,147.7,148.9,146.2,147.31,939700,147.683297080783,0.204067750493171,58938731000,0.204067750493171,147.01,138778585
2018-05-07,147.11,150.37,146.67,149.9,1105000,148.726567851943,1.75819699952481,59974990000,1.75819699952481,147.31,164347468
